课号      星期几     第几节     课名                  教室
101         1           1       计算机网络          一教301
102         1           2       数据库概论          一教302
103         1           3       互联网金融概论      二教108
105         1           4       软件需求与分析      一教302
107         2           1       数值分析            一教206
110         2           2       形势与政策          一教203
122         2           3       就业指导I           一教403
202         2           4       思修                二教205
209         3           1       体育                五教108
210         3           2       心理健康            四教106
211         3           3       JAVA应用            三教505
221         3           5       英语                四教106
213         4           1       操作系统            一教203
214         4           2       软件工程            二教108
215         4           3       人工智能            一教403
216         4           4       算法设计            一教203
217         5           1       编译原理            一教302
318         5           2       操作系统            二教108
319         5           3       界面设计            一教403
320         5           6       图像处理            一教301
321         5           4       线性代数            一教203
